"title","price","combustivel","cambio","km","modelo_base","descricao_modelo"
"CAMARO 6.2 SS COUPÉ V8 AUTOMÁTICO","79890","Gasolina","Automático","74631","CAMARO","6.2 SS COUPÉ V8 AUTOMÁTICO"
"T4 3.2 TGV 4X4 16V MANUAL","99990","Gasolina","Manual","83429","T4","3.2 TGV 4X4 16V MANUAL"
"COMPASS 1.3 T270 TURBO FLEX AUTOMÁTICO","79890","Flex","Automático","41286","COMPASS","1.3 T270 TURBO FLEX AUTOMÁTICO"
"VERSA 1.6 16V FLEX EXCLUSIVE AUTOMÁTICO","79890","Flex","Automático","69912","VERSA","1.6 16V FLEX EXCLUSIVE AUTOMÁTICO"
"CAYMAN 3.4 S I6 24V AUTOMÁTICO","293000","Gasolina","Automático","65319","CAYMAN","3.4 S I6 24V AUTOMÁTICO"
"FREEMONT 2.4 PRECISION 16V GASOLINA AUTOMÁTICO","60890","Gasolina","Automático","35117","FREEMONT","2.4 PRECISION 16V GASOLINA AUTOMÁTICO"
"TORO 2.0 16V TURBO DIESEL AUTOMÁTICO","116890","Diesel","Automático","85857","TORO","2.0 16V TURBO DIESEL AUTOMÁTICO"
"CAPTIVA 2.4 SIDI 16V GASOLINA AUTOMÁTICO","45890","Gasolina","Automático","76050","CAPTIVA","2.4 SIDI 16V GASOLINA AUTOMÁTICO"
"CRONOS 1.8 E.TORQ FLEX DRIVE AUTOMÁTICO","64990","Flex","Automático","69057","CRONOS","1.8 E.TORQ FLEX DRIVE AUTOMÁTICO"
"A4 1.8 TFSI ATTRACTION GASOLINA AUTOMÁTICO","79890","Gasolina","Automático","37148","A4","1.8 TFSI ATTRACTION GASOLINA AUTOMÁTICO"
"V40 2.0 T5 R DESIGN AUTOMÁTICO","79890","Gasolina","Automático","41122","V40","2.0 T5 R DESIGN AUTOMÁTICO"
"FOX 1.0 MI 8V FLEX MANUAL","41890","Flex","Manual","53164","FOX","1.0 MI 8V FLEX MANUAL"
"VITARA 1.6 16V GASOLINA 4ALL AUTOMÁTICO","75890","Gasolina","Automático","52537","VITARA","1.6 16V GASOLINA 4ALL AUTOMÁTICO"
"SPIN 1.8 ACTIV 8V FLEX AUTOMÁTICO","82900","Flex","Automático","26171","SPIN","1.8 ACTIV 8V FLEX AUTOMÁTICO"
"TRACKER 1.0 TURBO FLEX AUTOMÁTICO AUTOMÁTICO","87890","Flex","Automático","64563","TRACKER","1.0 TURBO FLEX AUTOMÁTICO AUTOMÁTICO"
"TIGUAN 2.0 350 TSI GASOLINA AUTOMÁTICO","79890","Gasolina","Automático","37143","TIGUAN","2.0 350 TSI GASOLINA AUTOMÁTICO"
"EJS1 ELÉTRICO AUTOMÁTICO AUTOMÁTICO","79890","Gasolina","Automático","83056","EJS1","ELÉTRICO AUTOMÁTICO AUTOMÁTICO"
"X1 2.0 16V TURBO ACTIVEFLEX AUTOMÁTICO","105890","Flex","Automático","76196","X1","2.0 16V TURBO ACTIVEFLEX AUTOMÁTICO"
"GLA 200 1.6 CGI ADVANCE AUTOMÁTICO","110890","Gasolina","Automático","76882","GLA","200 1.6 CGI ADVANCE AUTOMÁTICO"
"GOLF 1.4 TSI VARIANT HIGHLINE AUTOMÁTICO","79890","Gasolina","Automático","29354","GOLF","1.4 TSI VARIANT HIGHLINE AUTOMÁTICO"
"RENEGADE 1.3 T270 TURBO FLEX AUTOMÁTICO","98900","Flex","Automático","72539","RENEGADE","1.3 T270 TURBO FLEX AUTOMÁTICO"
"MOBI 1.0 FIREFLY FLEX DRIVE AUTOMÁTICO","45890","Flex","Automático","18103","MOBI","1.0 FIREFLY FLEX DRIVE AUTOMÁTICO"
"SANDERO 1.0 12V SCE FLEX MANUAL","51890","Flex","Manual","46931","SANDERO","1.0 12V SCE FLEX MANUAL"
"TORO 2.0 16V TURBO DIESEL AUTOMÁTICO","110890","Diesel","Automático","59307","TORO","2.0 16V TURBO DIESEL AUTOMÁTICO"
"HILUX SW4 3.0 SRV 4X4 AUTOMÁTICO","79890","Gasolina","Automático","25065","HILUX","SW4 3.0 SRV 4X4 AUTOMÁTICO"
"COOPER 2.0 S TOP 16V AUTOMÁTICO","79890","Gasolina","Automático","48805","COOPER","2.0 S TOP 16V AUTOMÁTICO"
"CITY 1.5 IVTEC FLEX HATCH AUTOMÁTICO","79890","Flex","Automático","71529","CITY","1.5 IVTEC FLEX HATCH AUTOMÁTICO"
"KICKS 1.6 16V FLEXSTART SV AUTOMÁTICO","79890","Flex","Automático","74298","KICKS","1.6 16V FLEXSTART SV AUTOMÁTICO"
"SIENA 1.0 MPI EL 8V MANUAL","33890","Gasolina","Manual","73956","SIENA","1.0 MPI EL 8V MANUAL"
"COROLLA 2.0 VVTIE FLEX XEI AUTOMÁTICO","131890","Flex","Automático","28251","COROLLA","2.0 VVTIE FLEX XEI AUTOMÁTICO"
"RAM 6.7 2500 LAIE 4X4 AUTOMÁTICO","79890","Gasolina","Automático","34244","RAM","6.7 2500 LAIE 4X4 AUTOMÁTICO"
"EQUINOX 1.5 16V TURBO GASOLINA AUTOMÁTICO","79890","Gasolina","Automático","38592","EQUINOX","1.5 16V TURBO GASOLINA AUTOMÁTICO"
"OUTLANDER 2.0 16V GASOLINA 4P AUTOMÁTICO","67890","Gasolina","Automático","68268","OUTLANDER","2.0 16V GASOLINA 4P AUTOMÁTICO"
"UNO 1.0 EVO ATTRACTIVE 8V MANUAL","35900","Gasolina","Manual","33757","UNO","1.0 EVO ATTRACTIVE 8V MANUAL"
"RENEGADE 1.3 T270 TURBO FLEX AUTOMÁTICO","127890","Flex","Automático","37673","RENEGADE","1.3 T270 TURBO FLEX AUTOMÁTICO"
"Q3 2.0 40 TFSI GASOLINA AUTOMÁTICO","79890","Gasolina","Automático","14946","Q3","2.0 40 TFSI GASOLINA AUTOMÁTICO"
"COROLLA CROSS 1.8 VVTI HYBRID AUTOMÁTICO","164900","Gasolina","Automático","24283","COROLLA","CROSS 1.8 VVTI HYBRID AUTOMÁTICO"
"RENEGADE 2.0 16V TURBO DIESEL AUTOMÁTICO","79890","Diesel","Automático","80370","RENEGADE","2.0 16V TURBO DIESEL AUTOMÁTICO"
"CRV 2.0 EXL 4X4 16V AUTOMÁTICO","79890","Gasolina","Automático","32283","CRV","2.0 EXL 4X4 16V AUTOMÁTICO"
"COMPASS 1.3 T270 TURBO FLEX AUTOMÁTICO","175890","Flex","Automático","68514","COMPASS","1.3 T270 TURBO FLEX AUTOMÁTICO"
"HB20 1.0 COMFORT 12V FLEX MANUAL","79890","Flex","Manual","36246","HB20","1.0 COMFORT 12V FLEX MANUAL"
"PULSE 1.3 TURBO 270 FLEX AUTOMÁTICO","79890","Flex","Automático","63387","PULSE","1.3 TURBO 270 FLEX AUTOMÁTICO"
"COMMANDER 2.0 TD380 TURBO DIESEL AUTOMÁTICO","79890","Diesel","Automático","59805","COMMANDER","2.0 TD380 TURBO DIESEL AUTOMÁTICO"
"218I 1.5 TWINTURBO GASOLINA GRAN AUTOMÁTICO","181890","Gasolina","Automático","60179","218I","1.5 TWINTURBO GASOLINA GRAN AUTOMÁTICO"
"XC60 2.0 T5 COMFORT FWD AUTOMÁTICO","79890","Gasolina","Automático","58147","XC60","2.0 T5 COMFORT FWD AUTOMÁTICO"
"PAJERO DAKAR 3.5 HPE 7 AUTOMÁTICO","142890","Gasolina","Automático","34578","PAJERO","DAKAR 3.5 HPE 7 AUTOMÁTICO"
"RENEGADE 1.8 16V FLEX 4P AUTOMÁTICO","79890","Flex","Automático","57750","RENEGADE","1.8 16V FLEX 4P AUTOMÁTICO"
"ONIX 1.0 TURBO FLEX PLUS MANUAL","65890","Flex","Manual","46138","ONIX","1.0 TURBO FLEX PLUS MANUAL"
"GRAND CHEROKEE 3.6 LAREDO 4X4 AUTOMÁTICO","90890","Gasolina","Automático","44145","GRAND","CHEROKEE 3.6 LAREDO 4X4 AUTOMÁTICO"
"SOUL 1.6 EX 16V FLEX MANUAL","79890","Flex","Manual","19162","SOUL","1.6 EX 16V FLEX MANUAL"
"YARIS 1.5 16V FLEX SEDAN AUTOMÁTICO","79890","Flex","Automático","72685","YARIS","1.5 16V FLEX SEDAN AUTOMÁTICO"
"TIGUAN 2.0 TSI 16V TURBO AUTOMÁTICO","63890","Gasolina","Automático","74783","TIGUAN","2.0 TSI 16V TURBO AUTOMÁTICO"
"ARGO 1.3 FIREFLY FLEX TREKKING MANUAL","79890","Flex","Manual","81922","ARGO","1.3 FIREFLY FLEX TREKKING MANUAL"
"SPORTAGE 2.0 LX 4X2 16V AUTOMÁTICO","79890","Gasolina","Automático","27444","SPORTAGE","2.0 LX 4X2 16V AUTOMÁTICO"
"FUSCA 1.5 8V GASOLINA 2P MANUAL","79890","Gasolina","Manual","77984","FUSCA","1.5 8V GASOLINA 2P MANUAL"
"TCROSS 1.0 200 TSI TOTAL AUTOMÁTICO","79890","Gasolina","Automático","30542","TCROSS","1.0 200 TSI TOTAL AUTOMÁTICO"
"MERIVA 1.4 MPFI COLLECTION 8V MANUAL","36890","Gasolina","Manual","63434","MERIVA","1.4 MPFI COLLECTION 8V MANUAL"
"JETTA 2.0 TSI HIGHLINE 200CV AUTOMÁTICO","79890","Gasolina","Automático","20566","JETTA","2.0 TSI HIGHLINE 200CV AUTOMÁTICO"
"ONIX 1.4 MPFI LTZ 8V MANUAL","79890","Gasolina","Manual","57805","ONIX","1.4 MPFI LTZ 8V MANUAL"
"535I 3.0 SEDAN 6 CILINDROS AUTOMÁTICO","78890","Gasolina","Automático","57441","535I","3.0 SEDAN 6 CILINDROS AUTOMÁTICO"
"COMPASS 1.3 T270 TURBO FLEX AUTOMÁTICO","152890","Flex","Automático","13053","COMPASS","1.3 T270 TURBO FLEX AUTOMÁTICO"
"GOLF 1.4 TSI HIGHLINE 16V AUTOMÁTICO","79890","Gasolina","Automático","33666","GOLF","1.4 TSI HIGHLINE 16V AUTOMÁTICO"
"430I 2.0 16V GASOLINA CABRIO AUTOMÁTICO","255000","Gasolina","Automático","32052","430I","2.0 16V GASOLINA CABRIO AUTOMÁTICO"
"TCROSS 1.4 250 TSI TOTAL AUTOMÁTICO","94900","Gasolina","Automático","89923","TCROSS","1.4 250 TSI TOTAL AUTOMÁTICO"
"JETTA 1.4 250 TSI TOTAL AUTOMÁTICO","79890","Gasolina","Automático","67471","JETTA","1.4 250 TSI TOTAL AUTOMÁTICO"
"FIESTA 1.6 TITANIUM PLUS SEDAN AUTOMÁTICO","46890","Gasolina","Automático","48124","FIESTA","1.6 TITANIUM PLUS SEDAN AUTOMÁTICO"
"RANGE ROVER SPORT 3.0 SE AUTOMÁTICO","79890","Gasolina","Automático","36120","RANGE","ROVER SPORT 3.0 SE AUTOMÁTICO"
"COMPASS 2.0 16V FLEX LONGITUDE AUTOMÁTICO","79800","Flex","Automático","55539","COMPASS","2.0 16V FLEX LONGITUDE AUTOMÁTICO"
"C 180 1.6 CGI 16V AUTOMÁTICO","79890","Gasolina","Automático","16900","C","180 1.6 CGI 16V AUTOMÁTICO"
"FORTWO 1.0 COUPE 3 CILINDROS AUTOMÁTICO","79890","Gasolina","Automático","58133","FORTWO","1.0 COUPE 3 CILINDROS AUTOMÁTICO"
"HILUX 2.5 STD 4X4 CD MANUAL","85000","Gasolina","Manual","36891","HILUX","2.5 STD 4X4 CD MANUAL"
"DUSTER 2.0 DYNAMIQUE 4X2 16V AUTOMÁTICO","79890","Gasolina","Automático","38096","DUSTER","2.0 DYNAMIQUE 4X2 16V AUTOMÁTICO"
"328I 2.0 GP 16V GASOLINA AUTOMÁTICO","99890","Gasolina","Automático","52274","328I","2.0 GP 16V GASOLINA AUTOMÁTICO"
"FASTBACK 1.0 TURBO 200 FLEX AUTOMÁTICO","79890","Flex","Automático","40612","FASTBACK","1.0 TURBO 200 FLEX AUTOMÁTICO"
"HB20 1.0 12V FLEX LIMITED MANUAL","65890","Flex","Manual","62109","HB20","1.0 12V FLEX LIMITED MANUAL"
"TIGGO 8 1.6 TGDI GASOLINA AUTOMÁTICO","121890","Gasolina","Automático","76550","TIGGO","8 1.6 TGDI GASOLINA AUTOMÁTICO"
"KA 1.0 TIVCT FLEX SE MANUAL","79890","Flex","Manual","68419","KA","1.0 TIVCT FLEX SE MANUAL"
"320I 2.0 16V TURBO GASOLINA AUTOMÁTICO","85890","Gasolina","Automático","55017","320I","2.0 16V TURBO GASOLINA AUTOMÁTICO"
"FASTBACK 1.0 TURBO 200 FLEX AUTOMÁTICO","79890","Flex","Automático","65203","FASTBACK","1.0 TURBO 200 FLEX AUTOMÁTICO"
