"title","price","combustivel","cambio","km","modelo_base","descricao_modelo"
"320I 2.0 16V TURBO FLEX AUTOMÁTICO","79890","Flex","Automático","47950","320I","2.0 16V TURBO FLEX AUTOMÁTICO"
"FIT 1.5 EX 16V FLEX AUTOMÁTICO","79890","Flex","Automático","79223","FIT","1.5 EX 16V FLEX AUTOMÁTICO"
"RANGE ROVER EVOQUE 2.0 PURE AUTOMÁTICO","79890","Gasolina","Automático","38905","RANGE","ROVER EVOQUE 2.0 PURE AUTOMÁTICO"
"C 180 K 1.8 CLASSIC AUTOMÁTICO","79890","Gasolina","Automático","76866","C","180 K 1.8 CLASSIC AUTOMÁTICO"
"COROLLA 1.8 SEG 16V FLEX AUTOMÁTICO","50900","Flex","Automático","70368","COROLLA","1.8 SEG 16V FLEX AUTOMÁTICO"
"ETIOS 1.3 X 16V FLEX MANUAL","79890","Flex","Manual","63826","ETIOS","1.3 X 16V FLEX MANUAL"
"HB20 1.0 12V FLEX EVOLUTION MANUAL","79890","Flex","Manual","42167","HB20","1.0 12V FLEX EVOLUTION MANUAL"
"KICKS 1.6 16V FLEXSTART S AUTOMÁTICO","79890","Flex","Automático","34950","KICKS","1.6 16V FLEXSTART S AUTOMÁTICO"
"NIVUS 1.0 200 TSI TOTAL AUTOMÁTICO","94890","Gasolina","Automático","78278","NIVUS","1.0 200 TSI TOTAL AUTOMÁTICO"
"FUSCA 2.0 TSI 16V GASOLINA AUTOMÁTICO","129900","Gasolina","Automático","56056","FUSCA","2.0 TSI 16V GASOLINA AUTOMÁTICO"
"XC60 2.0 T8 RECHARGE ULTIMATE AUTOMÁTICO","79890","Gasolina","Automático","63187","XC60","2.0 T8 RECHARGE ULTIMATE AUTOMÁTICO"
"COMMANDER 2.0 TD380 TURBO DIESEL AUTOMÁTICO","79890","Diesel","Automático","40571","COMMANDER","2.0 TD380 TURBO DIESEL AUTOMÁTICO"
"KICKS 1.6 16V FLEXSTART ACTIVE AUTOMÁTICO","79890","Flex","Automático","24822","KICKS","1.6 16V FLEXSTART ACTIVE AUTOMÁTICO"
"COROLLA 2.0 ALTIS 16V FLEX AUTOMÁTICO","75890","Flex","Automático","89721","COROLLA","2.0 ALTIS 16V FLEX AUTOMÁTICO"
"CIVIC 2.0 LXR 16V FLEX AUTOMÁTICO","79890","Flex","Automático","18816","CIVIC","2.0 LXR 16V FLEX AUTOMÁTICO"
"FOX 1.6 MI 8V FLEX MANUAL","79890","Flex","Manual","37944","FOX","1.6 MI 8V FLEX MANUAL"
"AZERA 3.3 MPFI GLS SEDAN AUTOMÁTICO","35890","Gasolina","Automático","61010","AZERA","3.3 MPFI GLS SEDAN AUTOMÁTICO"
"SANDERO 1.6 STEPWAY 16V FLEX MANUAL","79890","Flex","Manual","87247","SANDERO","1.6 STEPWAY 16V FLEX MANUAL"
"EX30 69 KW ELÉTRICO PLUS AUTOMÁTICO","218890","Gasolina","Automático","75122","EX30","69 KW ELÉTRICO PLUS AUTOMÁTICO"
"UNO 1.0 FIRE FLEX ATTRACTIVE MANUAL","47500","Flex","Manual","74744","UNO","1.0 FIRE FLEX ATTRACTIVE MANUAL"
"CHERY TIGGO 3X 1.0 VVT TURBO AUTOMÁTICO","69890","Gasolina","Automático","83837","CHERY","TIGGO 3X 1.0 VVT TURBO AUTOMÁTICO"
"T4 3.2 TGV 4X4 16V MANUAL","79890","Gasolina","Manual","62985","T4","3.2 TGV 4X4 16V MANUAL"
"COUNTRYMAN 1.6 CHILLI 16V 120CV AUTOMÁTICO","79890","Gasolina","Automático","63206","COUNTRYMAN","1.6 CHILLI 16V 120CV AUTOMÁTICO"
"KICKS 1.6 16V FLEXSTART ADVANCE AUTOMÁTICO","79890","Flex","Automático","20975","KICKS","1.6 16V FLEXSTART ADVANCE AUTOMÁTICO"
"CHERY TIGGO 8 PRO 1.5 TCI AUTOMÁTICO","164890","Gasolina","Automático","81630","CHERY","TIGGO 8 PRO 1.5 TCI AUTOMÁTICO"
"Q3 1.4 35 TFSI GASOLINA AUTOMÁTICO","79890","Gasolina","Automático","43893","Q3","1.4 35 TFSI GASOLINA AUTOMÁTICO"
"ETIOS 1.3 X 16V FLEX MANUAL","43900","Flex","Manual","16198","ETIOS","1.3 X 16V FLEX MANUAL"
"COOPER 2.0 S TOP 16V AUTOMÁTICO","92890","Gasolina","Automático","25763","COOPER","2.0 S TOP 16V AUTOMÁTICO"
"FIT 1.5 EXL 16V FLEX AUTOMÁTICO","79890","Flex","Automático","51805","FIT","1.5 EXL 16V FLEX AUTOMÁTICO"
"TIGGO 5X 1.5 VVT TURBO AUTOMÁTICO","79890","Gasolina","Automático","86872","TIGGO","5X 1.5 VVT TURBO AUTOMÁTICO"
"ONIX 1.0 FLEX LT MANUAL MANUAL","79890","Flex","Manual","82724","ONIX","1.0 FLEX LT MANUAL MANUAL"
"HILUX 2.7 SRV 4X2 CD AUTOMÁTICO","79890","Gasolina","Automático","69759","HILUX","2.7 SRV 4X2 CD AUTOMÁTICO"
"RANGE ROVER VELAR 2.0 P300 AUTOMÁTICO","307900","Gasolina","Automático","36806","RANGE","ROVER VELAR 2.0 P300 AUTOMÁTICO"
"TRACKER 1.2 TURBO FLEX PREMIER AUTOMÁTICO","79890","Flex","Automático","78511","TRACKER","1.2 TURBO FLEX PREMIER AUTOMÁTICO"
"ONIX 1.0 TURBO FLEX LTZ AUTOMÁTICO","98790","Flex","Automático","72172","ONIX","1.0 TURBO FLEX LTZ AUTOMÁTICO"
"X5 4.8 I SPORT 4X4 AUTOMÁTICO","79890","Gasolina","Automático","16880","X5","4.8 I SPORT 4X4 AUTOMÁTICO"
"STONIC 1.0 TGDI MHEV SX AUTOMÁTICO","108890","Gasolina","Automático","32726","STONIC","1.0 TGDI MHEV SX AUTOMÁTICO"
"MARCH 1.0 S 12V FLEX MANUAL","79890","Flex","Manual","44612","MARCH","1.0 S 12V FLEX MANUAL"
"TIGGO 5X 1.5 VVT TURBO AUTOMÁTICO","79890","Gasolina","Automático","88318","TIGGO","5X 1.5 VVT TURBO AUTOMÁTICO"
"RENEGADE 1.8 16V FLEX 4P AUTOMÁTICO","79890","Flex","Automático","36412","RENEGADE","1.8 16V FLEX 4P AUTOMÁTICO"
"CRETA 1.6 16V FLEX SMART AUTOMÁTICO","79890","Flex","Automático","79119","CRETA","1.6 16V FLEX SMART AUTOMÁTICO"
"208 1.6 16V FLEX ALLURE AUTOMÁTICO","69790","Flex","Automático","32609","208","1.6 16V FLEX ALLURE AUTOMÁTICO"
"HRV 1.5 DI IVTEC TURBO AUTOMÁTICO","79890","Gasolina","Automático","29427","HRV","1.5 DI IVTEC TURBO AUTOMÁTICO"
"VIRTUS 1.4 250 TSI EXCLUSIVE AUTOMÁTICO","136900","Gasolina","Automático","73635","VIRTUS","1.4 250 TSI EXCLUSIVE AUTOMÁTICO"
"ASX 2.0 MIVEC FLEX GLS AUTOMÁTICO","79890","Flex","Automático","36458","ASX","2.0 MIVEC FLEX GLS AUTOMÁTICO"
"2008 1.6 16V FLEX ALLURE AUTOMÁTICO","44900","Flex","Automático","75053","2008","1.6 16V FLEX ALLURE AUTOMÁTICO"
"POLO 1.0 170 TSI COMFORTLINE AUTOMÁTICO","87900","Gasolina","Automático","86969","POLO","1.0 170 TSI COMFORTLINE AUTOMÁTICO"
"JETTA 2.0 COMFORTLINE FLEX 4P AUTOMÁTICO","56890","Flex","Automático","29467","JETTA","2.0 COMFORTLINE FLEX 4P AUTOMÁTICO"
"SPORTAGE 2.0 LX 4X2 16V AUTOMÁTICO","79890","Gasolina","Automático","70502","SPORTAGE","2.0 LX 4X2 16V AUTOMÁTICO"
"ONIX 1.0 TURBO FLEX RS AUTOMÁTICO","87890","Flex","Automático","33685","ONIX","1.0 TURBO FLEX RS AUTOMÁTICO"
"HB20 1.0 12V FLEX VISION MANUAL","79890","Flex","Manual","88842","HB20","1.0 12V FLEX VISION MANUAL"
"E 250 2.0 CABRIOLET 16V AUTOMÁTICO","269890","Gasolina","Automático","55118","E","250 2.0 CABRIOLET 16V AUTOMÁTICO"
"SANTA FÉ 3.3 MPFI 4X4 AUTOMÁTICO","79890","Gasolina","Automático","73289","SANTA","FÉ 3.3 MPFI 4X4 AUTOMÁTICO"
"TUCSON 2.0 MPFI GLS 16V AUTOMÁTICO","38900","Gasolina","Automático","88207","TUCSON","2.0 MPFI GLS 16V AUTOMÁTICO"
"AIRCROSS 1.6 TENDANCE 16V FLEX MANUAL","79890","Flex","Manual","85936","AIRCROSS","1.6 TENDANCE 16V FLEX MANUAL"
"PAJERO TR4 2.0 4X2 16V AUTOMÁTICO","79890","Gasolina","Automático","12857","PAJERO","TR4 2.0 4X2 16V AUTOMÁTICO"
"FOX 1.6 MSI TRENDLINE 8V MANUAL","79890","Gasolina","Manual","60596","FOX","1.6 MSI TRENDLINE 8V MANUAL"
"HRV 1.8 16V FLEX EX AUTOMÁTICO","107890","Flex","Automático","84366","HRV","1.8 16V FLEX EX AUTOMÁTICO"
"COMPASS 2.0 16V DIESEL LONGITUDE AUTOMÁTICO","108890","Diesel","Automático","39389","COMPASS","2.0 16V DIESEL LONGITUDE AUTOMÁTICO"
"COROLLA 1.8 GLI 16V FLEX AUTOMÁTICO","79890","Flex","Automático","49095","COROLLA","1.8 GLI 16V FLEX AUTOMÁTICO"
"C4 CACTUS 1.6 VTI 120 AUTOMÁTICO","71900","Gasolina","Automático","61118","C4","CACTUS 1.6 VTI 120 AUTOMÁTICO"
"ETIOS 1.3 X 16V FLEX MANUAL","79890","Flex","Manual","80298","ETIOS","1.3 X 16V FLEX MANUAL"
"ONIX 1.0 TURBO FLEX PREMIER AUTOMÁTICO","88900","Flex","Automático","51757","ONIX","1.0 TURBO FLEX PREMIER AUTOMÁTICO"
"HRV 1.5 DI IVTEC FLEX AUTOMÁTICO","186900","Flex","Automático","38496","HRV","1.5 DI IVTEC FLEX AUTOMÁTICO"
"JETTA 2.0 TSI HIGHLINE 211CV AUTOMÁTICO","79890","Gasolina","Automático","64710","JETTA","2.0 TSI HIGHLINE 211CV AUTOMÁTICO"
"CRETA 1.6 16V FLEX ACTION AUTOMÁTICO","96890","Flex","Automático","20543","CRETA","1.6 16V FLEX ACTION AUTOMÁTICO"
"KWID 1.0 12V SCE FLEX MANUAL","59990","Flex","Manual","50494","KWID","1.0 12V SCE FLEX MANUAL"
"CITY 1.5 IVTEC FLEX HATCH AUTOMÁTICO","118900","Flex","Automático","85348","CITY","1.5 IVTEC FLEX HATCH AUTOMÁTICO"
"DUSTER 1.6 16V SCE FLEX AUTOMÁTICO","92900","Flex","Automático","61921","DUSTER","1.6 16V SCE FLEX AUTOMÁTICO"
"X1 2.0 16V TURBO ACTIVEFLEX AUTOMÁTICO","116890","Flex","Automático","16599","X1","2.0 16V TURBO ACTIVEFLEX AUTOMÁTICO"
"HILUX SW4 2.8 D4D TURBO AUTOMÁTICO","418890","Gasolina","Automático","50770","HILUX","SW4 2.8 D4D TURBO AUTOMÁTICO"
"HB20S 1.0 COMFORT PLUS 12V MANUAL","49900","Gasolina","Manual","35978","HB20S","1.0 COMFORT PLUS 12V MANUAL"
"CAMARO 6.2 SS COUPÉ V8 AUTOMÁTICO","79890","Gasolina","Automático","57295","CAMARO","6.2 SS COUPÉ V8 AUTOMÁTICO"
"CRETA 2.0 16V FLEX PULSE AUTOMÁTICO","79890","Flex","Automático","18076","CRETA","2.0 16V FLEX PULSE AUTOMÁTICO"
"RANGE ROVER VELAR 3.0 P340 AUTOMÁTICO","455890","Gasolina","Automático","59663","RANGE","ROVER VELAR 3.0 P340 AUTOMÁTICO"
"RANGE ROVER EVOQUE 2.0 SE AUTOMÁTICO","79890","Gasolina","Automático","79571","RANGE","ROVER EVOQUE 2.0 SE AUTOMÁTICO"
"COROLLA 1.8 VVTI HYBRID FLEX AUTOMÁTICO","124990","Flex","Automático","59214","COROLLA","1.8 VVTI HYBRID FLEX AUTOMÁTICO"
"DUSTER 1.6 4X2 16V FLEX MANUAL","79890","Flex","Manual","81599","DUSTER","1.6 4X2 16V FLEX MANUAL"
"208 1.6 16V FLEX GRIFFE AUTOMÁTICO","79890","Flex","Automático","45867","208","1.6 16V FLEX GRIFFE AUTOMÁTICO"
"COROLLA CROSS 1.8 VVTI HYBRID AUTOMÁTICO","210890","Gasolina","Automático","50803","COROLLA","CROSS 1.8 VVTI HYBRID AUTOMÁTICO"
"PAJERO SPORT 2.4 16V MIVEC AUTOMÁTICO","188890","Gasolina","Automático","31920","PAJERO","SPORT 2.4 16V MIVEC AUTOMÁTICO"
"TRACKER 1.2 TURBO FLEX PREMIER AUTOMÁTICO","79890","Flex","Automático","45028","TRACKER","1.2 TURBO FLEX PREMIER AUTOMÁTICO"
"A4 2.0 TFSI AMBIENTE GASOLINA AUTOMÁTICO","79890","Gasolina","Automático","75397","A4","2.0 TFSI AMBIENTE GASOLINA AUTOMÁTICO"
"VERSA 1.6 16V FLEXSTART S MANUAL","79890","Flex","Manual","72405","VERSA","1.6 16V FLEXSTART S MANUAL"
"UNO 1.0 EVO VIVACE 8V MANUAL","33890","Gasolina","Manual","31088","UNO","1.0 EVO VIVACE 8V MANUAL"
"ECLIPSE CROSS 1.5 MIVEC TURBO AUTOMÁTICO","79890","Gasolina","Automático","63504","ECLIPSE","CROSS 1.5 MIVEC TURBO AUTOMÁTICO"
"SPIN 1.8 PREMIER 8V FLEX AUTOMÁTICO","95500","Flex","Automático","26733","SPIN","1.8 PREMIER 8V FLEX AUTOMÁTICO"
"RAV4 2.5 VVTIE HYBRID SX AUTOMÁTICO","174900","Gasolina","Automático","47936","RAV4","2.5 VVTIE HYBRID SX AUTOMÁTICO"
"JUMPY 1.6 BLUEHDI DIESEL MINIBUS MANUAL","141900","Diesel","Manual","52495","JUMPY","1.6 BLUEHDI DIESEL MINIBUS MANUAL"
"POLO 1.0 170 TSI COMFORTLINE AUTOMÁTICO","87900","Gasolina","Automático","27214","POLO","1.0 170 TSI COMFORTLINE AUTOMÁTICO"
"RENEGADE 1.3 T270 TURBO FLEX AUTOMÁTICO","101890","Flex","Automático","33534","RENEGADE","1.3 T270 TURBO FLEX AUTOMÁTICO"
"Q3 1.4 35 TFSI GASOLINA AUTOMÁTICO","172890","Gasolina","Automático","81896","Q3","1.4 35 TFSI GASOLINA AUTOMÁTICO"
"RANGE ROVER EVOQUE 2.0 PURE AUTOMÁTICO","79900","Gasolina","Automático","36719","RANGE","ROVER EVOQUE 2.0 PURE AUTOMÁTICO"
"RENEGADE 1.8 16V FLEX SPORT AUTOMÁTICO","79890","Flex","Automático","65379","RENEGADE","1.8 16V FLEX SPORT AUTOMÁTICO"
"GOLF 1.4 TSI HIGHLINE 16V AUTOMÁTICO","80500","Gasolina","Automático","89479","GOLF","1.4 TSI HIGHLINE 16V AUTOMÁTICO"
"ARGO 1.3 FIREFLY FLEX TREKKING MANUAL","76890","Flex","Manual","41834","ARGO","1.3 FIREFLY FLEX TREKKING MANUAL"
"320I 2.0 16V TURBO GASOLINA AUTOMÁTICO","79890","Gasolina","Automático","73538","320I","2.0 16V TURBO GASOLINA AUTOMÁTICO"
"IMPREZA 2.0 4X2 16V GASOLINA AUTOMÁTICO","38890","Gasolina","Automático","43254","IMPREZA","2.0 4X2 16V GASOLINA AUTOMÁTICO"
"HB20S 1.0 12V FLEX EVOLUTION MANUAL","64890","Flex","Manual","65296","HB20S","1.0 12V FLEX EVOLUTION MANUAL"
"ARGO 1.0 FIREFLY FLEX DRIVE MANUAL","79890","Flex","Manual","17603","ARGO","1.0 FIREFLY FLEX DRIVE MANUAL"
"ETIOS 1.5 XLS SEDAN 16V MANUAL","79890","Gasolina","Manual","36904","ETIOS","1.5 XLS SEDAN 16V MANUAL"
"FASTBACK 1.3 TURBO 270 FLEX AUTOMÁTICO","79890","Flex","Automático","88289","FASTBACK","1.3 TURBO 270 FLEX AUTOMÁTICO"
"ETIOS 1.5 X PLUS 16V AUTOMÁTICO","79890","Gasolina","Automático","64633","ETIOS","1.5 X PLUS 16V AUTOMÁTICO"
"ECOSPORT 2.0 TITANIUM 16V FLEX AUTOMÁTICO","49990","Flex","Automático","19340","ECOSPORT","2.0 TITANIUM 16V FLEX AUTOMÁTICO"
"MEGANE 1.6 DYNAMIQUE GRAND TOUR MANUAL","32890","Gasolina","Manual","23197","MEGANE","1.6 DYNAMIQUE GRAND TOUR MANUAL"
"FASTBACK 1.3 TURBO 270 FLEX AUTOMÁTICO","79890","Flex","Automático","42745","FASTBACK","1.3 TURBO 270 FLEX AUTOMÁTICO"
"UP 1.0 TSI SPEED MANUAL","79890","Gasolina","Manual","36310","UP","1.0 TSI SPEED MANUAL"
"PULSE 1.0 TURBO 200 FLEX AUTOMÁTICO","79890","Flex","Automático","84866","PULSE","1.0 TURBO 200 FLEX AUTOMÁTICO"
"COROLLA CROSS 1.8 VVTI HYBRID AUTOMÁTICO","163890","Gasolina","Automático","12557","COROLLA","CROSS 1.8 VVTI HYBRID AUTOMÁTICO"
"CHERY TIGGO 2 1.5 MPFI 16V AUTOMÁTICO","56900","Gasolina","Automático","88251","CHERY","TIGGO 2 1.5 MPFI 16V AUTOMÁTICO"
"RANGE ROVER EVOQUE 2.0 DYNAMIC AUTOMÁTICO","89900","Gasolina","Automático","61060","RANGE","ROVER EVOQUE 2.0 DYNAMIC AUTOMÁTICO"
"HR 2.5 LONGO SEM CAÇAMBA MANUAL","135890","Gasolina","Manual","32723","HR","2.5 LONGO SEM CAÇAMBA MANUAL"
"TIGUAN 2.0 350 TSI GASOLINA AUTOMÁTICO","152900","Gasolina","Automático","81602","TIGUAN","2.0 350 TSI GASOLINA AUTOMÁTICO"
"TIGGO 8 1.6 TGDI GASOLINA AUTOMÁTICO","79890","Gasolina","Automático","80751","TIGGO","8 1.6 TGDI GASOLINA AUTOMÁTICO"
"HRV 1.8 16V FLEX EX AUTOMÁTICO","79890","Flex","Automático","51826","HRV","1.8 16V FLEX EX AUTOMÁTICO"
"GRAND CHEROKEE 3.0 LIMITED 4X4 AUTOMÁTICO","118890","Gasolina","Automático","32884","GRAND","CHEROKEE 3.0 LIMITED 4X4 AUTOMÁTICO"
"GLA 200 1.6 CGI ADVANCE AUTOMÁTICO","94890","Gasolina","Automático","33567","GLA","200 1.6 CGI ADVANCE AUTOMÁTICO"
"EQUINOX 2.0 16V TURBO GASOLINA AUTOMÁTICO","79890","Gasolina","Automático","43327","EQUINOX","2.0 16V TURBO GASOLINA AUTOMÁTICO"
"HB20 1.0 12V FLEX EVOLUTION MANUAL","63890","Flex","Manual","49857","HB20","1.0 12V FLEX EVOLUTION MANUAL"
"CRETA 2.0 16V FLEX PRESTIGE AUTOMÁTICO","79890","Flex","Automático","72170","CRETA","2.0 16V FLEX PRESTIGE AUTOMÁTICO"
"TRACKER 1.4 16V TURBO FLEX AUTOMÁTICO","79890","Flex","Automático","52757","TRACKER","1.4 16V TURBO FLEX AUTOMÁTICO"
"PULSE 1.0 TURBO 200 FLEX AUTOMÁTICO","104890","Flex","Automático","50186","PULSE","1.0 TURBO 200 FLEX AUTOMÁTICO"
"TCROSS 1.4 250 TSI TOTAL AUTOMÁTICO","113900","Gasolina","Automático","77400","TCROSS","1.4 250 TSI TOTAL AUTOMÁTICO"
"DUSTER 1.6 16V SCE FLEX AUTOMÁTICO","66500","Flex","Automático","14470","DUSTER","1.6 16V SCE FLEX AUTOMÁTICO"
"MONTANA 1.4 MPFI LS CS MANUAL","53890","Gasolina","Manual","75385","MONTANA","1.4 MPFI LS CS MANUAL"
"VOYAGE 1.0 12V MPI TOTALFLEX MANUAL","60890","Flex","Manual","59081","VOYAGE","1.0 12V MPI TOTALFLEX MANUAL"
"COMPASS 2.0 16V FLEX SPORT AUTOMÁTICO","79890","Flex","Automático","80211","COMPASS","2.0 16V FLEX SPORT AUTOMÁTICO"
"COROLLA CROSS 1.8 VVTI HYBRID AUTOMÁTICO","163890","Gasolina","Automático","29605","COROLLA","CROSS 1.8 VVTI HYBRID AUTOMÁTICO"
"ARRIZO 5 1.5 VVT TURBO AUTOMÁTICO","67900","Gasolina","Automático","79367","ARRIZO","5 1.5 VVT TURBO AUTOMÁTICO"
"HRV 1.5 DI IVTEC FLEX AUTOMÁTICO","149600","Flex","Automático","19245","HRV","1.5 DI IVTEC FLEX AUTOMÁTICO"
"TIGGO 5X 1.5 VVT TURBO AUTOMÁTICO","85890","Gasolina","Automático","52336","TIGGO","5X 1.5 VVT TURBO AUTOMÁTICO"
"CHERY ARRIZO 5 1.5 VVT TURBO AUTOMÁTICO","79890","Gasolina","Automático","25027","CHERY","ARRIZO 5 1.5 VVT TURBO AUTOMÁTICO"
"RENEGADE 1.3 T270 TURBO FLEX AUTOMÁTICO","131890","Flex","Automático","53100","RENEGADE","1.3 T270 TURBO FLEX AUTOMÁTICO"
"TIGUAN 2.0 300 TSI GASOLINA AUTOMÁTICO","79890","Gasolina","Automático","74757","TIGUAN","2.0 300 TSI GASOLINA AUTOMÁTICO"
"X3 2.0 16V HÍBRIDO M AUTOMÁTICO","79890","Gasolina","Automático","37228","X3","2.0 16V HÍBRIDO M AUTOMÁTICO"
"2008 1.6 16V FLEX CROSSWAY AUTOMÁTICO","68890","Flex","Automático","15523","2008","1.6 16V FLEX CROSSWAY AUTOMÁTICO"
"ONIX 1.4 MPFI ACTIV 8V MANUAL","66390","Gasolina","Manual","64512","ONIX","1.4 MPFI ACTIV 8V MANUAL"
"HB20S 1.0 TGDI FLEX DIAMOND AUTOMÁTICO","80890","Flex","Automático","18397","HB20S","1.0 TGDI FLEX DIAMOND AUTOMÁTICO"
"RENEGADE 1.8 16V FLEX LONGITUDE AUTOMÁTICO","85890","Flex","Automático","23998","RENEGADE","1.8 16V FLEX LONGITUDE AUTOMÁTICO"
"SONG PLUS 1.5 DMI HÍBRIDO AUTOMÁTICO","186890","Gasolina","Automático","32837","SONG","PLUS 1.5 DMI HÍBRIDO AUTOMÁTICO"
"SENTRA 2.0 SL 16V FLEX AUTOMÁTICO","43890","Flex","Automático","30583","SENTRA","2.0 SL 16V FLEX AUTOMÁTICO"
"C 300 2.0 CGI GASOLINA AUTOMÁTICO","225890","Gasolina","Automático","73083","C","300 2.0 CGI GASOLINA AUTOMÁTICO"
"208 1.5 ACTIVE 8V FLEX MANUAL","37890","Flex","Manual","42720","208","1.5 ACTIVE 8V FLEX MANUAL"
"KA 1.0 TIVCT FLEX SE MANUAL","51890","Flex","Manual","17428","KA","1.0 TIVCT FLEX SE MANUAL"
"CITY 1.5 EX 16V FLEX AUTOMÁTICO","79890","Flex","Automático","81237","CITY","1.5 EX 16V FLEX AUTOMÁTICO"
"ONIX 1.0 TURBO FLEX PREMIER AUTOMÁTICO","79890","Flex","Automático","28370","ONIX","1.0 TURBO FLEX PREMIER AUTOMÁTICO"
"LANCER 2.0 HL 16V GASOLINA AUTOMÁTICO","79890","Gasolina","Automático","86380","LANCER","2.0 HL 16V GASOLINA AUTOMÁTICO"
"COROLLA 1.8 VVTI HYBRID FLEX AUTOMÁTICO","79890","Flex","Automático","88515","COROLLA","1.8 VVTI HYBRID FLEX AUTOMÁTICO"
